left_speed_data,right_speed_data,left_sensor_data,right_sensor_data
26,29,628,801
26,29,629,801
26,29,636,800
26,29,647,854
26,29,740,820
26,42,707,88
26,43,696,78
0,0,0,0
26,29,757,786
26,41,711,469
26,29,703,780
26,29,691,799
26,29,629,789
26,41,677,542
26,29,663,846
0,0,0,0
26,29,608,798
26,29,729,819
26,29,675,794
26,29,691,799
26,29,693,814
26,29,771,807
26,29,670,811
0,0,0,0
38,29,55,810
39,29,708,186
26,29,665,811
26,29,735,817
26,29,736,811
26,29,729,775
26,29,781,797
0,0,0,0
26,29,750,809
26,29,660,833
26,29,734,767
26,29,780,786
26,29,751,785
26,29,777,826
26,29,762,776
0,0,0,0
26,29,670,774
26,29,720,868
26,29,743,783
26,29,759,815
26,29,682,820
26,29,746,817
26,29,730,835
0,0,0,0
26,29,721,844
26,29,716,780
26,29,686,817
26,41,740,181
26,29,768,798
26,42,739,115
26,43,748,77
0,0,0,0
26,44,734,91
39,29,55,817
37,29,58,804
38,29,62,365
39,29,802,67
40,29,722,99
26,29,752,813
0,0,0,0
26,29,722,838
26,29,728,743
26,29,767,833
26,29,762,779
26,29,775,857
26,29,697,816
26,29,706,817
0,0,0,0
26,29,716,826
26,42,722,96
26,29,723,835
37,29,58,803
26,29,719,786
26,29,764,852
26,29,647,786
0,0,0,0
26,41,747,321
26,29,764,788
26,29,715,765
26,29,652,787
38,29,54,806
26,29,782,796
38,29,55,800
0,0,0,0
26,29,740,800
26,29,713,810
26,29,767,806
26,29,708,831
26,42,753,130
26,43,774,91
26,44,56,99
0,0,0,0
39,29,58,812
37,29,55,711
38,29,759,76
26,29,772,805
26,29,731,807
26,29,719,781
26,29,700,793
0,0,0,0
26,41,683,529
26,29,737,798
26,29,770,836
38,29,56,796
38,29,57,750
26,29,711,783
26,29,681,799
0,0,0,0
26,29,730,816
38,29,57,809
26,29,732,805
26,29,680,787
26,29,712,835
38,29,56,809
26,29,724,827
0,0,0,0
26,29,773,799
26,29,825,805
26,42,737,126
26,43,815,251
38,29,55,795
26,29,799,804
26,29,770,795
0,0,0,0
26,42,734,120
26,29,688,817
37,29,56,831
37,29,172,827
26,29,759,812
26,29,729,783
26,29,698,823
0,0,0,0
26,29,672,797
37,29,55,829
37,29,60,838
26,29,716,816
26,29,749,772
37,29,55,807
26,29,803,852
0,0,0,0
